id_joueur;pseudo;nom;prenom;mail
50;'Alcatrax';'Masson';'Simon';'simon.masson@me.com'
51;'CoachWhip';'Marchand';'Camille';'camille.marchand@me.com'
52;'Pina_Colada';'Duval';'Anais';'anais.duval@me.com'
53;'Tarte_a_la_creme';'Denis';'Clara';'clara.denis@me.com'
54;'Ultia';'Dumont';'Emma';'emma.dumont@me.com'
55;'Petite_amie';'Marie';'Charlotte';'charlotte.marie@me.com'
56;'Tournesol';'Lemaire';'Celia';'celia.lemaire@me.com'
57;'Fille_idéale';'Noel';'Eva';'eva.noel@me.com'
58;'Caramel';'Meyer';'Ambre';'ambre.meyer@me.com'
59;'Aurore_boréale';'Dufour';'Clemence';'clemence.dufour@me.com'
60;'Coquine';'Meunier';'Juliette';'juliette.meunier@me.com'
61;'Ciganinha';'Brun';'Lena';'lena.brun@me.com'
62;'Debbie';'Blanchard';'Léa';'léa.blanchard@me.com'
63;'Bayssa';'Giraud';'Jeanne';'jeanne.giraud@me.com'
64;'Athenas';'Joly';'Julie';'julie.joly@me.com'
65;'Isis';'Riviere';'Maeva';'maeva.riviere@me.com'
66;'Olimpia';'Lucas';'Mathilde';'mathilde.lucas@me.com'
67;'Gaia';'Brunet';'Louise';'louise.brunet@me.com'
68;'Eris';'Gaillard';'Lucie';'lucie.gaillard@me.com'
69;'Gueidy';'Barbier';'Manon';'manon.barbier@me.com'
70;'Europe';'Arnaud';'Noemie';'noemie.arnaud@me.com'
71;'Clyrene';'Martinez';'Jade';'jade.martinez@me.com'
72;'Erika';'Gerard';'Ines';'ines.gerard@me.com'
73;'Katana';'Roche';'Sarah';'sarah.roche@me.com'
74;'Katrielly';'Renard';'Laura';'laura.renard@me.com'
75;'Themis';'Schmitt';'Lola';'lola.schmitt@me.com'
76;'Klara';'Roy';'Oceane';'oceane.roy@me.com'
77;'Maia';'Leroux';'Pauline';'pauline.leroux@me.com'
78;'Aziza';'Colin';'Romane';'romane.colin@me.com'
79;'Ostara';'Vidal';'Zoé';'zoé.vidal@me.com'
80;'Pandora';'Caron';'Lina';'lina.caron@me.com'
81;'Aurora';'Picard';'Lisa';'lisa.picard@me.com'
82;'Harmony';'Roger';'Maëlys';'maëlys.roger@me.com'
83;'Artemis';'Fabre';'Alicia';'alicia.fabre@me.com'
84;'RainGurl';'Aubert';'Andrea';'andrea.aubert@me.com'
85;'DropHottie';'Lemoine';'Audrey';'audrey.lemoine@me.com'
86;'Mihano';'Renaud';'Angele';'angele.renaud@me.com'
87;'PukkaPie';'Dumas';'Adele';'adele.dumas@me.com'
88;'IrisAzul';'Lacroix';'Alexia';'alexia.lacroix@me.com'
89;'Rosae';'Olivier';'Amandine';'amandine.olivier@me.com'
90;'CardiC';'Philippe';'Angelina';'angelina.philippe@me.com'
91;'Bégaiement';'Bourgeois';'Chiara';'chiara.bourgeois@me.com'
92;'R4taZana';'Pierre';'Claire';'claire.pierre@me.com'
93;'Barnacula';'Benoit';'Coralie';'coralie.benoit@me.com'
94;'BlekKween';'Rey';'Elsa';'elsa.rey@me.com'
95;'Strygga';'Leclerc';'Agathe';'agathe.leclerc@me.com'
96;'Razorina';'Payet';'Constance';'constance.payet@me.com'
97;'Flashing88';'Rolland';'Eleonore';'eleonore.rolland@me.com'
98;'BloodShed';'Leclercq';'Elisa';'elisa.leclercq@me.com'
99;'Urtyga';'Guillaume';'Elodie';'elodie.guillaume@me.com'
100;'KalbKilla';'Lecomte';'Fanny';'fanny.lecomte@me.com'
